date,division,unemployment
2018-03-27,MARTES,85
2018-03-28,MIERCOLES,79
2018-03-29,JUEVES,55
2018-03-30,VIERNES,28
2018-03-31,SABADO,64
2018-04-01,DOMINGO,64
2018-04-02,LUNES,109
2018-04-03,MARTES,98
2018-04-04,MIERCOLES,109
2018-04-05,JUEVES,85
2018-04-06,VIERNES,112
2018-04-07,SABADO,86
2018-04-08,DOMINGO,63
2018-04-09,LUNES,120
2018-04-10,MARTES,113
2018-04-11,MIERCOLES,95
2018-04-12,JUEVES,96
2018-04-13,VIERNES,117
2018-04-14,SABADO,95
2018-04-15,DOMINGO,70
2018-04-16,LUNES,97
2018-04-17,MARTES,110
2018-04-18,MIERCOLES,95
2018-04-19,JUEVES,96
2018-04-20,VIERNES,115
2018-04-21,SABADO,104
2018-04-22,DOMINGO,57
2018-04-23,LUNES,87
2018-04-24,MARTES,131
2018-04-25,MIERCOLES,99
2018-04-26,JUEVES,100
2018-04-27,VIERNES,101
2018-04-28,SABADO,108
2018-04-29,DOMINGO,55
2018-04-30,LUNES,113
2018-05-01,MARTES,70
2018-05-02,MIERCOLES,132
2018-05-03,JUEVES,120
2018-05-04,VIERNES,104
2018-05-05,SABADO,107
2018-05-06,DOMINGO,79
2018-05-07,LUNES,97
2018-05-08,MARTES,113
2018-05-09,MIERCOLES,105
2018-05-10,JUEVES,100
2018-05-11,VIERNES,141
2018-05-12,SABADO,105
2018-05-13,DOMINGO,48
2018-05-14,LUNES,46
2018-05-15,MARTES,130
2018-05-16,MIERCOLES,105
2018-05-17,JUEVES,102
2018-05-18,VIERNES,100
2018-05-19,SABADO,84
2018-05-20,DOMINGO,71
2018-05-21,LUNES,108
2018-05-22,MARTES,104
2018-05-23,MIERCOLES,101
2018-05-24,JUEVES,95
2018-05-25,VIERNES,113
2018-05-26,SABADO,104
2018-05-27,DOMINGO,72
2018-05-28,LUNES,97
2018-05-29,MARTES,97
2018-05-30,MIERCOLES,83
2018-05-31,JUEVES,104
2018-06-01,VIERNES,126
2018-06-02,SABADO,110
2018-06-03,DOMINGO,74
2018-06-04,LUNES,61
2018-06-05,MARTES,131
2018-06-06,MIERCOLES,100
2018-06-07,JUEVES,116
2018-06-08,VIERNES,141
2018-06-09,SABADO,84
2018-06-10,DOMINGO,47
2018-06-11,LUNES,53
2018-06-12,MARTES,100
2018-06-13,MIERCOLES,113
2018-06-14,JUEVES,108
2018-06-15,VIERNES,116
2018-06-16,SABADO,93
2018-06-17,DOMINGO,65
